42365,Lola La Bailera - VersiÃ³n 30 Aniversario,spotify:track:1ltfYRZ1EiIQJ0htj8c1eZ,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,3,162146,ranchera,2/21/2020,2.7,song34809,87F9,song87F9,162,02:42
42366,Debajo De Los Laureles - VersiÃ³n 30 Aniversario,spotify:track:2ViVR8gfFCzcIrQmMPR9ey,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,4,137600,banda,2/21/2020,2.29,song34810,87FA,song87FA,138,02:18
42367,Ni El Dinero Ni Nada - VersiÃ³n 30 Aniversario,spotify:track:6ARRF115CjZWlnV24xaxW5,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,5,142786,regional mexican,2/21/2020,2.38,song34811,87FB,song87FB,143,02:23
42368,Ay! Amigo - VersiÃ³n 30 Aniversario,spotify:track:45NsdhpvDGYMVyp7pmSC4H,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,6,180066,corrido,2/21/2020,3,song34812,87FC,song87FC,180,03:00
42369,Las Rejas No Matan - VersiÃ³n 30 Aniversario,spotify:track:6YbvSnwnafa9jPMtjDh5Pn,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,7,183106,banda,2/21/2020,3.05,song34813,87FD,song87FD,183,03:03
42370,Ya Se Fue - VersiÃ³n 30 Aniversario,spotify:track:5lkr03302XCmrPyRKDvXmu,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,8,219186,regional mexican,2/21/2020,3.65,song34814,87FE,song87FE,219,03:39
42371,Paso A Paso - VersiÃ³n 30 Aniversario,spotify:track:1V18rxRCbQGZoCWiEkjSpv,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,9,142146,regional mexican,2/21/2020,2.37,song34815,87FF,song87FF,142,02:22
42372,Mira Mira MÃ­rala - VersiÃ³n 30 Aniversario,spotify:track:7oHN6ta5vxcnGVjJQb288x,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,10,189586,corrido,2/21/2020,3.16,song34816,8800,song8800,190,03:10
42373,Vuelve Por Favor - VersiÃ³n 30 Aniversario,spotify:track:3ixwaIuJK8nvylu53prvGg,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,11,224680,regional mexican,2/21/2020,3.74,song34817,8801,song8801,225,03:45
42374,Una Noche Cualquiera - VersiÃ³n 30 Aniversario,spotify:track:5WWH0oxS8G4HapEzqN0Gry,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,12,177626,ranchera,2/21/2020,2.96,song34818,8802,song8802,178,02:58
42375,Cuando Nadie Te Quiera - VersiÃ³n 30 Aniversario,spotify:track:2Mt7J5tYyT7oED98yFJFhL,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,13,145680,corrido,2/21/2020,2.43,song34819,8803,song8803,146,02:26
42376,Con MÃºsica RomÃ¡ntica - VersiÃ³n 30 Aniversario,spotify:track:2NU9WN6DFm91o4OIRsQcPs,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,14,230586,nuevo regional mexicano,2/21/2020,3.84,song34820,8804,song8804,231,03:51
42377,Mi Gran Problema - VersiÃ³n 30 Aniversario,spotify:track:3ikDDLsqPHRpGz4KMq9VUK,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,15,191480,ranchera,2/21/2020,3.19,song34821,8805,song8805,191,03:11
