,spotify_artist_id,derived_artist_id,artist_name
273,spotify:artist:7d3WFRME3vBY2cgoP38RDo,artist273,Lil Skies
274,spotify:artist:6Q192DXotxtaysaqNPy5yR,artist274,Amy Winehouse
275,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,artist275,Stevie Wonder
276,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,artist276,TWICE
277,spotify:artist:2NjfBq1NflQcKSeiDooVjY,artist277,Tones And I
278,spotify:artist:360IAlyVv4PCEVjgyMZrxK,artist278,Miguel
279,spotify:artist:0YC192cP3KPCRWx8zr8MfZ,artist279,Hans Zimmer
280,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7,artist280,Backstreet Boys
281,spotify:artist:1cNDP5yjU5vjeR8qMf4grg,artist281,YNW Melly
282,spotify:artist:6sq1yF0OZEWA4xoXVKW1L9,artist282,Alejandro Fernández
283,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,artist283,Morgan Wallen
284,spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,artist284,Fetty Wap
285,spotify:artist:3Isy6kedDrgPYoTS1dazA9,artist285,Sean Paul
286,spotify:artist:6LqNN22kT3074XbTVUrhzX,artist286,Kesha
287,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,artist287,BTS
288,spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo,artist288,Lil Tecca
289,spotify:artist:3MHaV05u0io8fQbZ2XPtlC,artist289,Prince Royce
290,spotify:artist:2xiIXseIJcq3nG7C8fHeBj,artist290,Three Days Grace
291,spotify:artist:4lxfqrEsLX6N1N4OCSkILp,artist291,Phil Collins
292,spotify:artist:3FfvYsEGaIb52QPXhg4DcH,artist292,Jason Aldean
293,spotify:artist:7vCtweS8UVAXTyau2j0rDT,artist293,Josh Turner
294,spotify:artist:2KsP6tYLJlTBvSUxnwlVWa,artist294,Mike Posner
295,spotify:artist:4yiQZ8tQPux8cPriYMWUFP,artist295,Gwen Stefani
296,spotify:artist:5zctI4wO9XSKS8XwcnqEHk,artist296,Lil Mosey
297,spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j,artist297,George Ezra
298,spotify:artist:7z5WFjZAIYejWy0NI5lv4T,artist298,Dan + Shay
299,spotify:artist:1AL2GKpmRrKXkYIcASuRFa,artist299,Wesley Safadão
300,spotify:artist:2gsggkzM5R49q6jpPvazou,artist300,Jessie J
301,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,artist301,Billy Joel
302,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,artist302,Eagles
303,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,artist303,Pearl Jam
304,spotify:artist:2iojnBLj0qIMiKPvVhLnsH,artist304,Trey Songz
305,spotify:artist:5CiGnKThu5ctn9pBxv7DGa,artist305,benny blanco
306,spotify:artist:6Ghvu1VvMGScGpOUJBAHNH,artist306,Deftones
307,spotify:artist:0eecdvMrqBftK0M1VKhaF4,artist307,CNCO
308,spotify:artist:0epOFNiUfyON9EYx7Tpr6V,artist308,The Strokes
309,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,artist309,Mark Ronson
310,spotify:artist:0X5jj08FYkWPtmzUhhjOJd,artist310,Geoff Zanelli
311,spotify:artist:4aXXDj9aZnlshx7mzj3W1N,artist311,Lin-Manuel Miranda
312,spotify:artist:25u4wHJWxCA9vO0CzxAbK7,artist312,Lukas Graham
313,spotify:artist:0nmQIMXWTXfhgOBdNzhGOs,artist313,Avenged Sevenfold
314,spotify:artist:4S9EykWXhStSc15wEx8QFK,artist314,Céline Dion
315,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,artist315,The Offspring
316,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,artist316,Ricky Martin
317,spotify:artist:2Z0lRIqr997lIUiPtrpKCr,artist317,Matheus & Kauan
318,spotify:artist:17lzZA2AlOHwCwFALHttmp,artist318,2 Chainz
319,spotify:artist:7uwQPQsBYgrSd63xgeMyuM,artist319,T.R.U.
320,spotify:artist:1qto4hHid1P71emI6Fd8xi,artist320,Aventura
321,spotify:artist:55fhWPvDiMpLnE4ZzNXZyW,artist321,Noah Cyrus
322,spotify:artist:1RryIbDjpwt00AKkSpCGvP,artist322,PJ Harding
323,spotify:artist:7gP3bB2nilZXLfPHJhMdvc,artist323,Foster The People
324,spotify:artist:74ASZWbe4lXaubB36ztrGX,artist324,Bob Dylan
325,spotify:artist:5M9Bb4adKAgrOFOhc05Y50,artist325,Pablo Alborán
326,spotify:artist:0h1zs4CTlU9D2QtgPxptUD,artist326,Ricardo Arjona
327,spotify:artist:07PdYoE4jVRF6Ut40GgVSP,artist327,Cartel De Santa
328,spotify:artist:6fWVd57NKTalqvmjRd2t8Z,artist328,24kGoldn
